r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,start_time
1,45,4,30,60,56,64,51,112,71,True,1508490205
94,40,13,107,111,18,43,55,87,71,False,1505866566
46,36,2,64,71,95,53,13,111,88,True,1505912656
63,41,13,68,23,40,18,65,88,3,False,1505852703
17,114,40,16,91,25,18,51,7,87,False,1505945022
41,97,51,32,68,1,43,104,62,107,False,1508582075
19,12,29,75,91,18,49,65,28,31,True,1506044973
81,9,108,7,68,53,94,54,71,75,True,1506128632
4,47,40,87,7,53,18,114,23,91,False,1505916092
72,36,51,88,3,43,12,45,31,107,True,1505826219
36,45,63,86,88,92,6,3,64,7,False,1508610193
25,38,20,52,30,41,45,22,16,119,False,1530693278
13,41,38,101,87,25,12,69,37,51,False,1528268698
109,72,69,68,16,92,42,19,62,64,False,1524243526
39,54,36,87,16,13,4,9,23,68,False,1507381324
45,58,41,68,88,46,18,65,7,30,False,1509299330
8,49,41,68,60,42,13,58,107,87,False,1507135784
15,42,29,107,84,48,104,39,51,3,False,1512664462
78,40,114,31,71,25,63,104,64,107,False,1507488193
46,63,72,30,28,29,13,54,16,26,True,1525786701
94,12,13,51,101,81,39,104,68,23,True,1513001501
114,58,60,97,112,63,40,53,64,7,False,1508606118
45,8,22,28,3,9,36,16,64,88,True,1507306145
11,9,41,26,3,48,49,78,111,5,False,1532367559
72,43,7,71,64,11,9,65,107,84,False,1511172840
48,43,16,101,100,11,114,108,23,30,False,1525973598
94,19,29,84,87,93,39,23,38,79,True,1510997434
59,9,65,114,111,76,53,41,51,50,False,1506710459
1,61,65,7,31,8,63,58,69,64,True,1509379345
93,23,38,53,16,70,80,40,69,31,True,1528217884
95,43,2,101,37,21,12,78,69,3,True,1527942151
25,58,67,112,100,48,120,47,5,14,True,1532610357
95,76,19,16,87,48,47,69,28,3,False,1526505302
10,43,16,52,3,19,34,29,101,51,False,1513158042
53,49,20,100,30,12,63,51,60,3,False,1510156807
74,41,104,88,68,17,13,20,86,51,True,1510648307
72,13,61,16,37,49,63,100,88,68,True,1516265485
1,4,86,51,71,106,113,40,30,7,True,1507473169
10,49,9,112,107,41,38,63,91,85,True,1531248227
94,20,9,84,37,109,38,49,21,85,True,1530274224
59,41,36,64,88,9,106,60,51,119,True,1533193497
11,15,29,87,100,34,70,41,62,84,False,1513685076
109,17,104,68,107,76,41,13,30,84,True,1514095878
25,69,77,37,51,17,41,2,101,30,False,1530597776
4,59,62,38,64,48,49,57,86,88,True,1533715886
34,4,41,23,31,76,40,57,7,64,False,1507298875
19,34,69,84,68,15,22,41,3,16,False,1513250247
46,20,53,27,16,18,13,104,114,37,True,1514301119
9,19,108,64,7,53,46,42,5,88,False,1533196904
46,9,57,5,85,10,36,19,91,3,True,1533119092
25,72,57,52,87,48,43,78,16,86,True,1528095937
11,61,60,83,30,108,40,77,27,51,True,1516540911
94,20,110,41,107,11,63,29,79,14,True,1513589313
17,54,78,23,3,72,13,41,16,101,True,1510658081
25,12,2,101,87,34,38,54,21,64,True,1530454240
11,63,89,64,88,52,99,93,112,16,True,1530362505
15,13,34,85,68,48,74,57,14,79,False,1513713871
113,9,40,3,7,82,13,20,51,75,False,1509476626
72,25,69,119,88,53,35,56,16,3,True,1526671156
12,19,58,14,3,36,74,42,71,5,True,1532943466
72,23,53,107,30,11,61,78,27,85,False,1512655370
46,106,9,83,79,25,4,120,5,112,True,1531238597
56,36,57,68,71,9,114,53,88,87,True,1508183675
23,20,108,83,87,49,13,76,37,107,True,1527689759
93,43,38,21,37,106,72,2,51,3,True,1528273460
74,20,38,87,100,12,46,78,111,88,False,1510744207
6,53,13,16,87,34,9,38,79,107,True,1512061449
43,65,114,38,101,72,41,55,37,60,False,1527698934
78,21,39,100,3,72,49,16,89,87,False,1526992929
41,59,64,21,97,48,106,5,120,85,True,1531941570
12,52,88,51,37,114,25,21,16,119,True,1530172900
94,98,29,27,100,77,47,103,87,83,False,1516534309
43,12,97,111,20,78,70,74,5,112,False,1531945729
63,15,13,27,88,46,19,69,16,112,True,1513327503
34,59,38,32,50,44,72,97,86,87,True,1510294484
80,9,104,107,75,21,41,64,68,7,True,1507138412
77,53,106,100,75,4,114,55,51,3,True,1528103529
21,40,52,3,83,53,23,93,37,71,False,1531321543
11,63,29,27,85,53,46,16,20,68,True,1513094472
72,75,108,86,28,10,13,50,51,107,True,1511377253
67,33,99,7,5,114,19,38,119,86,True,1533625376
11,54,104,7,68,21,81,51,87,88,False,1506891072
23,101,41,29,37,95,38,16,19,52,True,1528384086
43,15,69,88,68,25,12,102,71,86,False,1526333593
15,9,29,16,79,49,20,78,86,112,False,1510315695
43,19,13,86,85,61,39,58,78,71,True,1513006098
9,69,45,31,88,13,81,114,7,27,False,1508837397
44,76,64,97,16,98,45,53,86,107,True,1507392775
69,12,54,71,112,43,63,65,107,37,True,1508860495
17,38,114,27,51,43,12,19,112,85,False,1514549653
10,39,120,89,64,1,11,86,30,51,True,1530445322
